COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Lead,Tons,11234,45364.763,133.838,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Copper,Tons,28122,433479.176,125.629,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Zinc,Tons,35567,316124.368,107.425,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Antimony,Tons,0,0,0,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,224,1616.373,523.977,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,120,9106.538,127.208,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,44.117,80,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,124,622.271,96,Final Figures.
National,2001,June,01/06/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,363,18117.707,55.76,Final Figures.
National,2001,June,01/06/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,489572,147997.742,56.475,Final Figures.
National,2001,June,01/06/2001,Steel Metals and Minerals,Coke,Tons,181384,269743.402,140.663,Final Figures.
National,2001,June,01/06/2001,Steel Metals and Minerals,Iron Pellets,Tons,482544,104890.607,74.949,Final Figures.
National,2001,June,01/06/2001,Steel Metals and Minerals,Manganese,Tons,9060,8342.882,63.988,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Sulfur,Tons,79089,51414.491,91.16,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Graphite,Tons,2494,5158.721,413.999,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Barite,Tons,11664,8218.895,99.93,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Dolomite,Tons,54810,10907.19,53.3,Final Figures.
